long,lat,ZIP Code,Facility_Name,County,Address,City,Zip_Code,Beds,Telephone,Facility_Type,,,
-84.522213,34.083137,30188,DSI WOODSTOCK DIALYSIS CENTER,CHEROKEE,2001 PROFESSIONAL  PARKWAY   STE 100,WOODSTOCK,30188,15,6784941171,END STAGE RENAL DIALYSIS CLINIC,,,
-84.503556,34.085578,30188,FMC DIALYSIS SERVICES WOODSTOCK,CHEROKEE,"110 LONDONDERRY COURT, STE 100",WOODSTOCK,30188,16,7705923439,END STAGE RENAL DIALYSIS CLINIC,,,
-84.491755,34.246667,30114,NORTHWEST GEORGIA DIALYSIS,CHEROKEE,260 HOSPITAL ROAD,CANTON,30114,19,6788803939,END STAGE RENAL DIALYSIS CLINIC,,,
-84.491971,34.24936,30114,RENAL CARE CENTER OF NORTH GEORGIA BMA,CHEROKEE,411 HOSPITAL ROAD,CANTON,30114,14,7704790259,END STAGE RENAL DIALYSIS CLINIC,,,
-84.240993,33.61867,30294,"ELLENWOOD DIALYSIS CENTER, LLC",CLAYTON,209 BENNETTE BLVD,ELLENWOOD,30294,16,7704742200,END STAGE RENAL DIALYSIS CLINIC,,,
-84.444808,33.611305,30349,FMC ATLANTA-COLLEGE PARK,CLAYTON,1720 PHOENIX PKWY,COLLEGE PARK,30349,16,7709965889,END STAGE RENAL DIALYSIS CLINIC,,,
-84.377648,33.620894,30297,FOREST PARK DIALYSIS CENTER,CLAYTON,380 FOREST PARKWAY,FOREST PARK,30297,18,4043610646,END STAGE RENAL DIALYSIS CLINIC,,,city
-84.379359,33.581026,30236,FRESENIUS MEDICAL CARE CLAYTON COUNTY,CLAYTON,"335 UPPER RIVERDALE ROAD, STE A-1",JONESBORO,30236,21,7709079001,END STAGE RENAL DIALYSIS CLINIC,,,
-84.352993,33.522737,30236,JONESBORO DIALYSIS,CLAYTON,129 KING STREET,JONESBORO,30236,20,7704712381,END STAGE RENAL DIALYSIS CLINIC,,,
-84.210415,33.514011,30281,RAI -EAGLES LANDING-STOCKBRIDGE,CLAYTON,500 EAGLES LANDING PARKWAY,STOCKBRIDGE,30281,23,7704746068,END STAGE RENAL DIALYSIS CLINIC,,,
